iter	Passed	Remaining
0	134	40099
1	135	20159
2	136	13525
3	137	10206
4	139	8208
5	140	6876
6	141	5923
7	142	5217
8	144	4661
9	145	4215
10	146	3850
11	147	3551
12	149	3294
13	150	3076
14	151	2885
15	153	2718
16	154	2570
17	155	2438
18	156	2320
19	158	2213
20	159	2117
21	160	2028
22	161	1948
23	163	1877
24	164	1810
25	165	1749
26	167	1691
27	168	1637
28	169	1586
29	170	1538
30	172	1494
31	173	1452
32	174	1412
33	175	1376
34	177	1340
35	178	1307
36	179	1274
37	180	1246
38	182	1218
39	183	1190
40	184	1165
41	185	1141
42	186	1117
43	188	1094
44	189	1073
45	190	1052
46	191	1032
47	193	1013
48	194	995
49	195	977
50	196	960
51	198	944
52	199	928
53	200	913
54	201	898
55	203	884
56	204	870
57	205	857
58	206	844
59	207	831
60	209	819
61	210	807
62	211	796
63	212	784
64	214	774
65	215	763
66	216	753
67	217	743
68	219	733
69	220	724
70	221	714
71	222	705
72	224	696
73	225	688
74	226	679
75	227	671
76	229	663
77	230	655
78	231	648
79	232	640
80	234	632
81	235	625
82	236	618
83	237	611
84	238	604
85	240	597
86	241	591
87	242	585
88	244	578
89	245	572
90	246	566
91	247	560
92	249	554
93	250	548
94	251	542
95	252	537
96	253	531
97	255	525
98	256	520
99	257	515
100	258	510
101	260	505
102	261	500
103	262	495
104	263	490
105	265	485
106	266	480
107	267	475
108	268	470
109	269	466
110	271	461
111	272	457
112	273	453
113	275	449
114	276	444
115	277	440
116	279	436
117	280	432
118	281	428
119	282	424
120	284	420
121	285	416
122	286	412
123	287	408
124	289	404
125	290	400
126	291	396
127	292	393
128	293	389
129	294	385
130	296	382
131	297	378
132	298	374
133	299	371
134	301	367
135	302	364
136	303	361
137	304	357
138	306	354
139	307	351
140	308	347
141	309	344
142	311	341
143	312	338
144	313	335
145	314	331
146	315	328
147	317	325
148	318	322
149	319	319
150	320	316
151	322	313
152	323	310
153	324	307
154	325	304
155	326	301
156	328	298
157	329	296
158	330	293
159	331	290
160	333	287
161	334	284
162	335	282
163	336	279
164	338	276
165	339	273
166	340	271
167	341	268
168	343	265
169	344	263
170	345	260
171	346	257
172	347	255
173	349	252
174	350	250
175	351	247
176	352	245
177	353	242
178	355	240
179	356	237
180	357	235
181	358	232
182	360	230
183	361	227
184	362	225
185	363	222
186	364	220
187	366	218
188	367	215
189	368	213
190	369	211
191	371	208
192	372	206
193	373	204
194	374	201
195	375	199
196	377	197
197	378	194
198	379	192
199	380	190
200	382	188
201	383	186
202	385	184
203	386	181
204	387	179
205	389	177
206	390	175
207	392	173
208	393	171
209	394	169
210	396	167
211	397	164
212	398	162
213	400	160
214	401	158
215	402	156
216	404	154
217	405	152
218	406	150
219	407	148
220	408	146
221	410	144
222	411	142
223	412	140
224	413	137
225	415	135
226	416	133
227	417	131
228	418	129
229	420	127
230	421	125
231	422	123
232	423	121
233	425	119
234	426	117
235	427	115
236	428	114
237	430	112
238	431	110
239	432	108
240	434	106
241	435	104
242	436	102
243	437	100
244	439	98
245	440	96
246	441	94
247	442	92
248	444	90
249	445	89
250	446	87
251	447	85
252	449	83
253	450	81
254	451	79
255	452	77
256	454	75
257	455	74
258	456	72
259	457	70
260	458	68
261	460	66
262	461	64
263	462	63
264	463	61
265	465	59
266	466	57
267	467	55
268	468	54
269	469	52
270	471	50
271	472	48
272	473	46
273	474	45
274	476	43
275	477	41
276	478	39
277	479	37
278	481	36
279	482	34
280	483	32
281	484	30
282	485	29
283	487	27
284	488	25
285	489	23
286	490	22
287	492	20
288	493	18
289	494	17
290	495	15
291	497	13
292	498	11
293	499	10
294	500	8
295	502	6
296	503	5
297	504	3
298	505	1
299	507	0
